Id,AboutMe,Age,CreationDate,DisplayName,DownVotes,EmailHash,LastAccessDate,Location,Reputation,UpVotes,Views,WebsiteUrl,AccountId
14114,,,2008-09-16 22:03:19.403,Ronny Brendel,95,,2021-03-04 14:57:05.193,Lordran,4571,1039,765,http://automaton2000.com,7997
7766,,,2008-09-15 14:22:52.840,comshak,0,,2021-05-28 20:04:48.627,"Atlanta, GA",523,0,95,,4978
139456,"<p>Effective C, Go and JavaScript enthusiast. Writing tons of code for fun and profit.</p>
",,2009-07-16 12:49:39.667,smokku,3,,2021-05-21 10:26:09.067,"Warsaw, Poland",763,87,112,http://smoku.xiaoka.com/,47125
74057,,,2009-03-05 03:20:54.583,aldrin,9,,2021-05-30 02:42:40.510,"Mumbai, India",3869,1039,302,,27899
167733,,,2009-09-03 08:40:48.087,MauriceL,6,,2021-05-18 12:25:09.103,"London, United Kingdom",445,21,27,,55985
210158,"<p>I'm a web developer and I.T. trainer specializing in HTML5, jQuery, Ajax, JSON and XML-related technologies.</p>
",,2009-11-13 03:41:04.743,Andrew M. Andrews III,4,,2021-03-08 21:41:37.690,United States,1891,24,391,http://www.ama3.com/,72867
41422,"I'm part of the <a href=""http://www.signumframework.com"" rel=""nofollow"">SignumFramework</a> team ",,2008-11-27 16:45:59.897,mapache,0,,2020-07-03 11:52:43.910,"Madrid, Spain",1341,225,220,http://www.signumsoftware.com,18181
16238,,,2008-09-17 15:38:23.657,Juan Pablo Morales,0,,2021-05-29 19:10:37.990,"Bogota, Colombia",82,10,21,,8905
110156,"<p>Father, husband, Catholic, UK sports fan, software craftsman, Delta Sigma Phi brother, Transylvania U. alumnus, bourbon drinker, music lover, &amp; stuff knower.</p>
",,2009-05-20 19:48:18.937,Jamie Bisotti,12,,2021-05-28 21:39:42.813,"Lexington, Kentucky United States",2249,93,149,,38390
37292,Geek=?,,2008-11-13 09:13:14.580,kjetildm,1,,2020-12-26 18:36:52.327,Norway,274,246,37,,16897
180136,"<ul>
<li><p>Programming for 15 years.</p></li>
<li><p>Created <a href=""http://www.sktnetwork.com/portfolio/hindi-programming-language"" rel=""nofollow"">Hindi Programming Language</a>. </p></li>
<li><p>Working as a freelance PHP/MySQL developer.</p></li>
<li><p>I believe ""Programming is an Art"".</p></li>
</ul>
",,2009-09-28 06:36:29.180,shamittomar,26,,2021-05-28 12:23:19.057,India,43068,1172,3912,http://www.sktnetwork.com/,60284
80161,"<p>A Master Generalist.</p>
",,2009-03-19 18:33:30.403,Nathan Hartley,4,,2021-05-11 16:45:03.177,"Lansing, MI",3483,725,441,http://7hartleys.org,29608
84237,,,2009-03-29 11:43:28.480,Arjan,419,,2021-05-29 07:19:23.050,Netherlands,20227,1060,2747,,30810
23708,,,2008-09-30 08:12:29.967,Carl Björknäs,0,,2021-05-27 08:01:24.150,,543,123,45,,12122
120591,,,2009-06-10 14:56:15.097,VSP,16,,2021-05-27 16:02:50.353,"Bilbao, España",2237,939,287,,41482
146360,,,2009-07-28 11:55:36.773,Michael Phillips,10,,2021-05-28 15:58:15.937,"Manchester, United Kingdom",838,130,101,http://idiotandrobot.com/blog,49182
97803,"<p>""Blame is not for failure, but for failing to help or ask for help."" - Jørgen Vig Knudstorp</p>
",,2009-04-29 16:21:38.773,David Yates,5,,2021-05-29 14:25:49.480,"Richardson, TX, United States",1306,169,238,,34581
233057,"<p>I enjoy programming and for most of my life this has simply been a hobby.  I started in the early 80s, initially with Basic, but my interests have gone through a number of changes over the years.  Today I'm into Python (and Django), Vim and Linux.  I enjoy math.  I'm also interested in Birds and birding, and various areas of Ecology.  I have an interest in combining my interests in math (and stats), programming and biology to do some kind of modeling projects.</p>
<p>I work in tourism in Namibia, and do guide training, but I'd like to move to the UK in the coming months or years and see if I can peruse a career in programming.</p>
",,2009-12-16 15:30:37.613,Vernon,1,,2021-05-29 14:40:47.820,"Birmingham, UK",2521,246,86,http://vernon-swanepoel.me/,83030
26453,,,2008-10-09 10:15:34.090,Shannon Cornish,1,,2020-02-07 03:46:17.340,"Des Moines, IA, USA",891,34,101,http://www.shannoncornish.com,13232
151365,"<p>I'm full-stack developer, but I love front-end web tech. Had a lot of fun with GWT and a Java back end. These days toying with scala, haskell and clojure. Maybe ruby.</p>

<p>I'm also the Chief Operating Squatch at referralsaasquatch.com</p>
",,2009-08-05 21:01:51.467,logan,6,,2021-04-01 16:05:15.663,"Victoria, BC",3327,305,322,http://referralsaasquatch.com,50730
170909,,,2009-09-09 14:56:15.757,me22,10,,2021-05-21 07:25:48.123,,652,40,80,,57051
18880,,,2008-09-19 14:07:37.093,Muhammad Haggag,0,,2021-05-28 20:20:31.027,Egypt,181,40,75,http://mhaggag.arabic-minds.net,10084
720,"<p><strong>python hacker</strong></p>

<p>Follow me on <a href=""http://twitter.com/peterhoffmann"" rel=""nofollow"">twitter/peterhoffmann</a></p>
",,2008-08-08 08:47:12.180,Peter Hoffmann,16,,2021-05-27 12:20:34.980,Stuttgart,48060,655,3166,http://peter-hoffmann.com,555
241479,,,2009-12-31 10:51:26.367,Alexandre Salomé,1,,2021-05-28 13:22:33.030,"Lille, France",845,7,130,https://alexandre.salome.fr,86965
23562,"<p>Java programmer since 2000, switched to C# in 2007. Interests: LINQ (to anything), ASP.NET MVC, Entity Framework, SQL Server, F#, WCF, Rx, Azure, ...</p>
",,2008-09-29 18:41:21.820,Ronald Wildenberg,87,,2021-04-08 19:08:24.390,Netherlands,30401,1684,2068,http://www.itq.nl,12052
187163,"<p>ATL</p>
",,2009-10-09 13:11:13.267,Steve,7,,2021-05-27 18:40:43.193,,1640,112,67,,63171
123510,,,2009-06-16 05:28:58.130,Anthony Webb,0,,2020-01-28 00:15:19.573,,1163,19,127,,42397
127776,,,2009-06-23 18:45:59.273,John M,1,,2021-05-27 18:44:34.073,"Ontario, Canada",12652,4154,804,,43671
23213,,,2008-09-28 16:46:31.777,Steve Vermeulen,8,,2021-05-29 17:35:23.357,"Halifax, NS, Canada",1170,283,250,,11916
100072,"<p>C#, VB.net, Java, Python, PHP, SQL, Object-C and Cocoa</p>
",,2009-05-03 03:34:35.853,Leon Guan,0,,2020-08-04 20:02:27.363,"Shanghai, China",135,49,41,http://cn.linkedin.com/in/leonguan,35345
204159,"<p>ThisIsMe:</p>

<p>ProudToBeItailian</p>

<p>AhumbleITEngineerLivingInSiena</p>

<p>WannabeChristianButAtLeastNeocathecumenal</p>

<p>FatherOfTwoTryingToBeHusband</p>

<p>WorkingToBeAgeek</p>
",,2009-11-05 21:10:21.683,microspino,4,,2021-05-28 09:08:38.317,"Siena, SI, Tuscany, Italy",7434,1513,596,http://www.microspino.com,70379
122808,,,2009-06-14 19:17:17.987,fairfieldt,0,,2021-03-20 04:04:45.550,"Mountain View, CA",761,4,51,http://www.notenoughminerals.com,42181
99682,,,2009-05-02 00:18:05.473,Craig Lewis,0,,2021-05-28 20:33:13.100,,321,5,62,,35221
136450,"<p>A .NET developer.</p>
",,2009-07-10 18:26:36.290,Tangurena,4,,2021-04-14 22:35:17.727,"Frankfort, KY, USA",2111,700,199,,46214
62873,,,2009-02-05 11:52:01.387,Gaetan,3,,2021-05-20 06:45:04.450,,2650,19,168,,24663
612,"<p>I'm a consultant specialising in Microsoft Dynamics CRM. On the weekends I'm a casual Django web developer, home brewer, dad and DIY guy in Melbourne, Australia.</p>

<p>If you find my MS CRM answers useful and you want one-on-one help that is tailored to your business, you might want to hire us at <a href=""http://www.pa.com.au"" rel=""nofollow"">Professional Advantage</a> - where I'm a CRM specialist. We also do Microsoft SharePoint, ERP (AX &amp; GP), Wennsoft, Exchange, Cisco networks, and all sorts of other fun stuff.</p>

<p>That said, all answers and comments here are my own and do not represent the views of my employer: they don't influence or endorse anything I do or say online. It's just me, I'm afraid.</p>
",,2008-08-07 10:44:23.660,rossp,2,,2020-05-29 02:58:23.763,Australia,1148,87,182,http://www.rossp.org/,470
105320,"<p>I grew from system and network administration into programming. Do mostly programming nowadays though
started with vb5 certified</p>

<p>Dot NET developer, wse, wcf, x509. vs2005 vs2008</p>

<p>working in the Netherlands.</p>

<p>big fan of xkcd.com, dilbert, garfield and the itcrew</p>
",,2009-05-12 12:00:34.827,Edwin,0,,2020-01-13 15:56:30.217,"The Hague, The Netherlands",1,0,29,,36882
177761,,,2009-09-23 11:51:01.173,oh_cripes,0,,2021-05-13 09:51:02.683,"London, United Kingdom",107,7,19,http://adam-a.co.uk,59406
59470,"<p>My interests lie in predictive analytics and parallel processing with big data and its applications. </p>

<p>Read more on technologies I use: <a href=""http://novyden.blogspot.com"" rel=""nofollow noreferrer"">novyden blog</a> or read <a href=""http://winerank.blogspot.com/"" rel=""nofollow noreferrer"">this</a> when you are tired of everything <a href=""http://stackoverflow.com"">stackoverflow</a> has to offer.</p>
",,2009-01-27 19:09:56.977,topchef,62,,2021-05-29 15:10:08.277,"Dallas, TX",17019,2282,1750,http://novyden.blogspot.com/,23666
169095,"<p>Researcher, Data Scientist</p>
",,2009-09-05 20:19:35.957,russellpierce,47,,2021-04-17 21:05:55.030,"Dallas, TX, United States",4206,490,503,,56451
5677,,,2008-09-10 21:56:30.780,Dave Gregory,4,,2021-03-02 10:30:13.120,"Oxford, United Kingdom",813,129,131,,3878
220315,Software Engineer with a strong C++ background who now focuses solely on C#.,,2009-11-28 02:18:38.857,System.Exception,0,,2021-05-28 03:22:21.280,"Sydney, Australia",149,16,20,,77115
13275,"<p>Lead Core Developer @ PrestaShop</p>
",,2008-09-16 18:01:10.420,Pablo Borowicz,1,,2021-05-24 16:07:39.223,"Paris, France",894,76,205,,7613
98632,,,2009-04-30 14:55:01.203,mtpettyp,15,,2021-05-25 15:41:40.250,"Toronto, Canada",5455,921,392,,34878
198259,,,2009-10-28 16:24:49.467,bng44270,0,,2020-11-04 21:03:26.113,"Cincinnati, OH, United States",199,11,52,http://www.andydoestech.com,67834
162076,,,2009-08-24 13:21:13.853,Matt_JD,1,,2021-05-01 18:45:27.533,"Bedford, United Kingdom",536,15,93,,54177
100129,"<p>I've seen things you androids wouldn't believe.  Gradients exploding in the Hopfield networks.  I watched bandit algorithms converge symptotically in the shadows under the quantum ratchets.  All those errors will be lost in time, like branches in the Merkle trees.  Prepare to make your own maker!</p>
<p><a href=""https://en.wikipedia.org/wiki/Tears_in_rain_monologue"" rel=""nofollow noreferrer"">Tears in rain monologue</a></p>
",,2009-05-03 07:25:53.347,makeyourownmaker,6,,2021-05-30 04:12:05.707,,1164,594,112,,35359
62488,,,2009-02-04 16:05:01.880,Gregor Brandt,134,,2021-05-27 21:51:47.710,"Calgary, Canada",7439,760,1150,http://marionette.ca,24539
186483,,,2009-10-08 15:54:20.357,DougJones,0,,2021-04-07 01:11:16.167,,734,255,91,,62867
6460,,,2008-09-15 10:24:58.187,Nikolai Prokoschenko,5,,2021-05-26 16:15:27.863,Germany,7353,35,728,http://rassie.org,4330
185606,"<h1>SOreadytohelp</h1>
",,2009-10-07 12:39:03.083,Jason Gerard,0,,2021-05-27 14:57:43.367,"Jacksonville, FL",166,3,29,https://medium.com/@thejasongerard/,62468
